Date,Adj. Close
22-06-22,"3,759.89"
23-06-22,"3,795.73"
24-06-22,"3,911.74"
27-06-22,"3,900.11"
28-06-22,"3,821.55"
29-06-22,"3,818.83"
30-06-22,"3,785.38"
01-07-22,"3,825.33"
05-07-22,"3,831.39"
06-07-22,"3,845.08"
07-07-22,"3,902.62"
08-07-22,"3,899.38"
11-07-22,"3,854.43"
12-07-22,"3,818.80"
13-07-22,"3,801.78"
14-07-22,"3,790.38"
15-07-22,"3,863.16"
18-07-22,"3,830.85"
19-07-22,"3,936.69"
20-07-22,"3,959.90"
21-07-22,"3,998.95"
22-07-22,"3,961.63"
25-07-22,"3,966.84"
26-07-22,"3,921.05"
27-07-22,"4,023.61"
28-07-22,"4,072.43"
29-07-22,"4,130.29"
01-08-22,"4,118.63"
02-08-22,"4,091.19"
03-08-22,"4,155.17"
04-08-22,"4,151.94"
05-08-22,"4,145.19"
08-08-22,"4,140.06"
09-08-22,"4,122.47"
10-08-22,"4,210.24"
11-08-22,"4,207.27"
12-08-22,"4,280.15"
15-08-22,"4,297.14"
16-08-22,"4,305.20"
17-08-22,"4,274.04"
18-08-22,"4,283.74"
19-08-22,"4,228.48"
22-08-22,"4,137.99"
23-08-22,"4,128.73"
24-08-22,"4,140.77"
25-08-22,"4,199.12"
26-08-22,"4,057.66"
29-08-22,"4,030.61"
30-08-22,"3,986.16"
31-08-22,"3,955.00"
01-09-22,"3,966.85"
02-09-22,"3,924.26"
06-09-22,"3,908.19"
07-09-22,"3,979.87"
08-09-22,"4,006.18"
09-09-22,"4,067.36"
12-09-22,"4,110.41"
13-09-22,"3,932.69"
14-09-22,"3,946.01"
15-09-22,"3,901.35"
16-09-22,"3,873.33"
19-09-22,"3,899.89"
20-09-22,"3,855.93"
21-09-22,"3,789.93"
22-09-22,"3,757.99"
23-09-22,"3,693.23"
26-09-22,"3,655.04"
27-09-22,"3,647.29"
28-09-22,"3,719.04"
29-09-22,"3,640.47"
30-09-22,"3,585.62"
03-10-22,"3,678.43"
04-10-22,"3,790.93"
05-10-22,"3,783.28"
06-10-22,"3,744.52"
07-10-22,"3,639.66"
10-10-22,"3,612.39"
11-10-22,"3,588.84"
12-10-22,"3,577.03"
13-10-22,"3,669.91"
14-10-22,"3,583.07"
17-10-22,"3,677.95"
18-10-22,"3,719.98"
19-10-22,"3,695.16"
20-10-22,"3,665.78"
21-10-22,"3,752.75"
24-10-22,"3,797.34"
25-10-22,"3,859.11"
26-10-22,"3,830.60"
27-10-22,"3,807.30"
28-10-22,"3,901.06"
31-10-22,"3,871.98"
01-11-22,"3,856.10"
02-11-22,"3,759.69"
03-11-22,"3,719.89"
04-11-22,"3,770.55"
07-11-22,"3,806.80"
08-11-22,"3,828.11"
09-11-22,"3,748.57"
10-11-22,"3,956.37"
11-11-22,"3,992.93"
14-11-22,"3,957.25"
15-11-22,"3,991.73"
16-11-22,"3,958.79"
17-11-22,"3,946.56"
18-11-22,"3,965.34"
21-11-22,"3,949.94"
22-11-22,"4,003.58"
23-11-22,"4,027.26"
25-11-22,"4,026.12"
28-11-22,"3,963.94"
29-11-22,"3,957.63"
30-11-22,"4,080.11"
01-12-22,"4,076.57"
02-12-22,"4,071.70"
05-12-22,"3,998.84"
06-12-22,"3,941.26"
07-12-22,"3,933.92"
08-12-22,"3,963.51"
09-12-22,"3,934.38"
12-12-22,"3,990.56"
13-12-22,"4,019.65"
14-12-22,"3,995.32"
15-12-22,"3,895.75"
16-12-22,"3,852.36"
19-12-22,"3,817.66"
20-12-22,"3,821.62"
21-12-22,"3,878.44"
22-12-22,"3,822.39"
23-12-22,"3,844.82"
27-12-22,"3,829.25"
28-12-22,"3,783.22"
29-12-22,"3,849.28"
